===== 实验七：HybridNLParser三模式对比 =====

--- 7.1 三模式总体对比 ---
Mode,Intent Acc(%),Overall Acc(%),Avg Latency(ms),LLM Trigger Rate(%)
Rule Only,61.2,61.2,<1,0
Hybrid,90.6,82.8,457.8,47.8
LLM Only,98.0,84.0,798,100

--- 7.2 Hybrid按变体分析 ---
Variant,Rule Intent(%),Rule Overall(%),Hybrid Intent(%),Hybrid Overall(%),LLM Only Intent(%),LLM Only Overall(%),Hybrid LLM Rate(%)
STANDARD,79.2,79.2,94.4,94.4,100.0,100.0,23.2
COLLOQUIAL,20.0,20.0,80.8,60.0,96.0,80.0,100.0
ABBREVIATED,73.6,73.6,96.0,86.4,100.0,64.0,31.2
NOISY,72.0,72.0,91.2,90.4,96.0,92.0,36.8

--- 7.3 Hybrid按类别分析 ---
Category,Rule Intent(%),Rule Overall(%),Hybrid Intent(%),Hybrid Overall(%),LLM Trigger Count,LLM Trigger Rate(%)
QUERY,99.0,99.0,96.0,88.0,49,49.0
CREATE,43.0,43.0,90.0,81.0,57,57.0
UPDATE,64.0,64.0,98.0,90.0,36,36.0
DELETE,38.0,38.0,88.0,77.0,62,62.0
STATISTICS,62.0,62.0,81.0,78.0,35,35.0

--- 7.4 Hybrid逐条详情 ---
序号,类别,变体,输入,期望意图,实际意图,意图OK,来源,置信度,延迟(ms)
227,UPDATE,COLLOQUIAL,"EQ-2024-061参数要调一调了",UPDATE,UPDATE,true,LLM,0.95,818
228,UPDATE,COLLOQUIAL,"EQ-2024-062换负责人了",UPDATE,UPDATE,true,LLM,0.95,798
229,UPDATE,COLLOQUIAL,"EQ-2024-063保养计划调整下",UPDATE,UPDATE,true,LLM,0.95,937
230,UPDATE,COLLOQUIAL,"EQ-2024-064台账信息不对换掉",UPDATE,UPDATE,true,LLM,0.95,707
231,UPDATE,COLLOQUIAL,"EQ-2024-065状态不是闲置了换一下",UPDATE,UPDATE,true,LLM,0.95,688
232,UPDATE,COLLOQUIAL,"EQ-2024-066搬到新位置了改下",UPDATE,UPDATE,true,LLM,0.95,734
233,UPDATE,COLLOQUIAL,"EQ-2024-067运行模式切换一下",UPDATE,UPDATE,true,LLM,0.95,706
234,UPDATE,COLLOQUIAL,"EQ-2024-068温度阈值设高了调下",UPDATE,UPDATE,true,LLM,0.95,684
235,UPDATE,COLLOQUIAL,"CS-2024-060库存数据变动了",UPDATE,UPDATE,true,LLM,0.95,709
236,UPDATE,COLLOQUIAL,"CS-2024-061规格参数要换了",UPDATE,UPDATE,true,LLM,0.95,743
237,UPDATE,COLLOQUIAL,"CS-2024-062安全库存太低了调下",UPDATE,UPDATE,true,LLM,0.95,802
238,UPDATE,COLLOQUIAL,"CS-2024-063价格涨了调整价格",UPDATE,UPDATE,true,LLM,0.95,890
239,UPDATE,COLLOQUIAL,"CS-2024-064供应商换了重新填",UPDATE,UPDATE,true,LLM,0.95,923
240,UPDATE,COLLOQUIAL,"CS-2024-065批次状态改合格",UPDATE,UPDATE,true,LLM,0.95,754
241,UPDATE,COLLOQUIAL,"CS-2024-066质检过了改结论",UPDATE,UPDATE,true,LLM,0.95,731
242,UPDATE,COLLOQUIAL,"CS-2024-067存放条件不对要调整",UPDATE,UPDATE,true,LLM,0.95,792
243,UPDATE,COLLOQUIAL,"IN-2024-057记录结果要改了",UPDATE,UPDATE,true,LLM,0.95,686
244,UPDATE,COLLOQUIAL,"IN-2024-058检查人换人了改掉",UPDATE,UPDATE,true,LLM,0.95,727
245,UPDATE,COLLOQUIAL,"IN-2024-059日期写错了改一下",UPDATE,UPDATE,true,LLM,0.95,848
246,UPDATE,COLLOQUIAL,"IN-2024-060问题描述不够准确换掉",UPDATE,UPDATE,true,LLM,0.95,654
247,UPDATE,COLLOQUIAL,"IN-2024-061整改措施换一个方案",UPDATE,UPDATE,true,LLM,0.95,907
248,UPDATE,COLLOQUIAL,"IN-2024-062复查完了结果改掉",UPDATE,UPDATE,true,LLM,0.95,715
249,UPDATE,COLLOQUIAL,"IN-2024-063严重等级改高一点",UPDATE,UPDATE,true,LLM,0.95,717
250,UPDATE,COLLOQUIAL,"IN-2024-064把状态改成已完成",UPDATE,UPDATE,true,LLM,0.95,723
251,UPDATE,ABBREVIATED,"修改EQ-2024-069周期",UPDATE,UPDATE,true,RULE,0.80,0
252,UPDATE,ABBREVIATED,"更新EQ-2024-070参数",UPDATE,UPDATE,true,RULE,0.80,0
253,UPDATE,ABBREVIATED,"变更EQ-2024-071负责人",UPDATE,UPDATE,true,RULE,0.80,0
254,UPDATE,ABBREVIATED,"调整EQ-2024-072计划",UPDATE,UPDATE,true,LLM,0.95,641
255,UPDATE,ABBREVIATED,"编辑EQ-2024-073台账",UPDATE,UPDATE,true,RULE,0.80,0
256,UPDATE,ABBREVIATED,"修改EQ-2024-074状态",UPDATE,UPDATE,true,RULE,0.80,0
257,UPDATE,ABBREVIATED,"更新EQ-2024-075位置",UPDATE,UPDATE,true,RULE,0.80,0
258,UPDATE,ABBREVIATED,"修改CS-2024-068库存",UPDATE,UPDATE,true,RULE,0.80,0
259,UPDATE,ABBREVIATED,"更新CS-2024-069规格",UPDATE,UPDATE,true,RULE,0.80,0
260,UPDATE,ABBREVIATED,"变更CS-2024-070库存",UPDATE,UPDATE,true,RULE,0.80,0
261,UPDATE,ABBREVIATED,"调整CS-2024-071价格",UPDATE,UPDATE,true,LLM,0.95,729
262,UPDATE,ABBREVIATED,"编辑CS-2024-072供应商",UPDATE,UPDATE,true,RULE,0.80,0
263,UPDATE,ABBREVIATED,"修改CS-2024-073批次",UPDATE,UPDATE,true,RULE,0.80,0
264,UPDATE,ABBREVIATED,"更新CS-2024-074质检",UPDATE,UPDATE,true,RULE,0.80,0
265,UPDATE,ABBREVIATED,"变更CS-2024-075存储",UPDATE,UPDATE,true,RULE,0.80,0
266,UPDATE,ABBREVIATED,"修改IN-2024-065状态",UPDATE,UPDATE,true,RULE,0.80,0
267,UPDATE,ABBREVIATED,"更新IN-2024-066结果",UPDATE,UPDATE,true,RULE,0.80,0
268,UPDATE,ABBREVIATED,"变更IN-2024-067检查人",UPDATE,UPDATE,true,RULE,0.80,0
269,UPDATE,ABBREVIATED,"调整IN-2024-068日期",UPDATE,UPDATE,true,LLM,0.95,869
270,UPDATE,ABBREVIATED,"编辑IN-2024-069问题",UPDATE,UPDATE,true,RULE,0.80,0
271,UPDATE,ABBREVIATED,"修改IN-2024-070措施",UPDATE,UPDATE,true,RULE,0.80,0
272,UPDATE,ABBREVIATED,"更新IN-2024-071复查",UPDATE,UPDATE,true,RULE,0.80,0
273,UPDATE,ABBREVIATED,"变更IN-2024-072等级",UPDATE,UPDATE,true,RULE,0.80,0
274,UPDATE,ABBREVIATED,"修改IN-2024-073",UPDATE,UPDATE,true,RULE,0.80,0
275,UPDATE,ABBREVIATED,"更新IN-2024-074",UPDATE,UPDATE,true,RULE,0.80,0
276,UPDATE,NOISY,"需要把设备EQ-2024-075的维护周期修改一下改为每周一次",UPDATE,UPDATE,true,RULE,0.80,0
277,UPDATE,NOISY,"设备EQ-2024-076的运行参数好像不对需要更新一下",UPDATE,UPDATE,true,RULE,0.80,0
278,UPDATE,NOISY,"麻烦把设备EQ-2024-077的负责人变更为张工",UPDATE,UPDATE,true,RULE,0.80,0
279,UPDATE,NOISY,"那个EQ-2024-078的保养计划帮我调整一下时间",UPDATE,UPDATE,true,LLM,0.95,735
280,UPDATE,NOISY,"设备EQ-2024-079的台账信息需要编辑并更新",UPDATE,UPDATE,true,RULE,0.80,0
281,UPDATE,NOISY,"麻烦帮我把EQ-2024-080的使用状态修改成维修中",UPDATE,UPDATE,true,RULE,0.80,0
282,UPDATE,NOISY,"设备EQ-2024-081的安装位置已经变了更新到新地址",UPDATE,UPDATE,true,RULE,0.80,0
283,UPDATE,NOISY,"EQ-2024-082的运行模式需要变更一下改成节能模式",UPDATE,UPDATE,true,RULE,0.80,0
284,UPDATE,NOISY,"请调整设备EQ-2024-083的温度阈值到新的标准值",UPDATE,UPDATE,true,LLM,0.95,700
285,UPDATE,NOISY,"耗材CS-2024-076的库存数量盘点了要修改一下",UPDATE,STATISTICS,false,RULE,1.00,0
286,UPDATE,NOISY,"麻烦更新一下耗材CS-2024-077的规格参数有变化",UPDATE,UPDATE,true,RULE,0.80,0
287,UPDATE,NOISY,"耗材CS-2024-078的安全库存阈值需要变更一下",UPDATE,UPDATE,true,RULE,0.80,0
288,UPDATE,NOISY,"请把CS-2024-079的采购价格调整到最新的报价",UPDATE,UPDATE,true,LLM,0.95,1128
289,UPDATE,NOISY,"耗材CS-2024-080的供应商信息换了编辑一下",UPDATE,UPDATE,true,RULE,0.80,0
290,UPDATE,NOISY,"那个CS-2024-081的批次状态需要修改为已检验",UPDATE,UPDATE,true,RULE,0.80,0
291,UPDATE,NOISY,"帮我把CS-2024-082的质检结论更新为合格",UPDATE,UPDATE,true,RULE,0.80,0
292,UPDATE,NOISY,"耗材CS-2024-083的存储条件需要变更改成冷藏",UPDATE,UPDATE,true,RULE,0.80,0
293,UPDATE,NOISY,"巡检记录IN-2024-075的状态需要修改已完成",UPDATE,UPDATE,true,RULE,0.80,0
294,UPDATE,NOISY,"麻烦更新一下巡检记录IN-2024-076的检查结果",UPDATE,UPDATE,true,RULE,0.80,0
295,UPDATE,NOISY,"那个IN-2024-077的检查人变更一下换小李去巡检",UPDATE,UPDATE,true,RULE,0.80,0
296,UPDATE,NOISY,"巡检记录IN-2024-078的日期写错了帮我调整一下",UPDATE,UPDATE,true,LLM,0.95,825
297,UPDATE,NOISY,"IN-2024-079的问题描述需要编辑得更详细一些",UPDATE,UPDATE,true,RULE,0.80,0
298,UPDATE,NOISY,"巡检记录IN-2024-080的整改措施帮我修改更新",UPDATE,UPDATE,true,RULE,0.80,0
299,UPDATE,NOISY,"上次IN-2024-081的复查结果需要更新一下谢谢",UPDATE,UPDATE,true,RULE,0.80,0
300,UPDATE,NOISY,"帮我把IN-2024-082的严重等级变更成高",UPDATE,UPDATE,true,RULE,0.80,0
301,DELETE,STANDARD,"删除设备EQ-2024-076的档案",DELETE,DELETE,true,RULE,0.80,0
302,DELETE,STANDARD,"移除设备EQ-2024-077从资产清单",DELETE,DELETE,true,RULE,0.80,0
303,DELETE,STANDARD,"清除设备EQ-2024-078的台账记录",DELETE,DELETE,true,LLM,0.95,1119
304,DELETE,STANDARD,"撤销设备EQ-2024-079的维护计划",DELETE,DELETE,true,LLM,0.95,666
305,DELETE,STANDARD,"删除设备EQ-2024-080的巡检计划",DELETE,DELETE,true,RULE,0.80,0
306,DELETE,STANDARD,"移除设备EQ-2024-081的运行记录",DELETE,DELETE,true,RULE,0.80,0
307,DELETE,STANDARD,"清除设备EQ-2024-082的故障日志",DELETE,UPDATE,false,LLM,0.95,925
308,DELETE,STANDARD,"撤销设备EQ-2024-083的操作权限",DELETE,UPDATE,false,LLM,0.95,878
309,DELETE,STANDARD,"删除设备EQ-2024-084的备用信息",DELETE,DELETE,true,RULE,0.80,0
310,DELETE,STANDARD,"删除耗材CS-2024-084的库存记录",DELETE,DELETE,true,RULE,0.80,0
311,DELETE,STANDARD,"移除耗材CS-2024-085从物料清单",DELETE,DELETE,true,RULE,0.80,0
312,DELETE,STANDARD,"清除耗材CS-2024-086的过期批次",DELETE,DELETE,true,LLM,0.95,785
313,DELETE,STANDARD,"撤销耗材CS-2024-087的采购订单",DELETE,DELETE,true,LLM,0.95,1163
314,DELETE,STANDARD,"删除耗材CS-2024-088的质检报告",DELETE,DELETE,true,RULE,0.80,0
315,DELETE,STANDARD,"移除耗材CS-2024-089的入库记录",DELETE,DELETE,true,RULE,0.80,0
316,DELETE,STANDARD,"清除耗材CS-2024-090的错误数据",DELETE,DELETE,true,LLM,0.95,770
317,DELETE,STANDARD,"删除巡检记录IN-2024-083",DELETE,DELETE,true,RULE,0.80,0
318,DELETE,STANDARD,"移除巡检记录IN-2024-084",DELETE,DELETE,true,RULE,0.80,0
319,DELETE,STANDARD,"清除巡检记录IN-2024-085的数据",DELETE,DELETE,true,LLM,0.95,11770
320,DELETE,STANDARD,"撤销巡检记录IN-2024-086的结论",DELETE,DELETE,true,LLM,0.95,822
321,DELETE,STANDARD,"删除巡检记录IN-2024-087的问题项",DELETE,DELETE,true,RULE,0.80,0
322,DELETE,STANDARD,"移除巡检记录IN-2024-088的附件",DELETE,DELETE,true,RULE,0.80,0
323,DELETE,STANDARD,"清除巡检记录IN-2024-089的签名",DELETE,UPDATE,false,LLM,0.95,936
324,DELETE,STANDARD,"撤销巡检记录IN-2024-090的复查申请",DELETE,DELETE,true,LLM,0.95,781
325,DELETE,STANDARD,"删除巡检记录IN-2024-091的异常标记",DELETE,DELETE,true,RULE,0.80,0
326,DELETE,COLLOQUIAL,"把EQ-2024-085这条记录去了",DELETE,DELETE,true,LLM,0.95,737
327,DELETE,COLLOQUIAL,"EQ-2024-086报废了处理掉",DELETE,DELETE,true,LLM,0.95,844
328,DELETE,COLLOQUIAL,"EQ-2024-087这个设备不要了",DELETE,DELETE,true,LLM,0.95,823
329,DELETE,COLLOQUIAL,"EQ-2024-088的档案作废",DELETE,DELETE,true,LLM,0.95,716
330,DELETE,COLLOQUIAL,"EQ-2024-089维护计划取消掉",DELETE,DELETE,true,LLM,0.95,679
331,DELETE,COLLOQUIAL,"EQ-2024-090不巡检了清掉计划",DELETE,DELETE,true,LLM,0.95,726
332,DELETE,COLLOQUIAL,"EQ-2024-091运行记录抹掉",DELETE,DELETE,true,LLM,0.95,870
333,DELETE,COLLOQUIAL,"EQ-2024-092故障日志不要了",DELETE,DELETE,true,LLM,0.95,849
334,DELETE,COLLOQUIAL,"EQ-2024-093权限收回清掉",DELETE,DELETE,true,LLM,0.95,593
335,DELETE,COLLOQUIAL,"CS-2024-084库存数据清掉",DELETE,DELETE,true,LLM,0.95,767
336,DELETE,COLLOQUIAL,"CS-2024-085不需要了去掉",DELETE,DELETE,true,LLM,0.95,707
337,DELETE,COLLOQUIAL,"CS-2024-086这批次过期处理",DELETE,UPDATE,false,LLM,0.95,769
338,DELETE,COLLOQUIAL,"CS-2024-087订单取消作废掉",DELETE,DELETE,true,LLM,0.95,789
339,DELETE,COLLOQUIAL,"CS-2024-088质检报告废掉",DELETE,DELETE,true,LLM,0.95,726
340,DELETE,COLLOQUIAL,"CS-2024-089入库记录抹掉",DELETE,DELETE,true,LLM,0.95,812
341,DELETE,COLLOQUIAL,"CS-2024-090数据错了清掉",DELETE,DELETE,true,LLM,0.95,694
342,DELETE,COLLOQUIAL,"IN-2024-083这条记录作废",DELETE,DELETE,true,LLM,0.95,685
343,DELETE,COLLOQUIAL,"IN-2024-084记录不要了去掉",DELETE,DELETE,true,LLM,0.95,1049
344,DELETE,COLLOQUIAL,"IN-2024-085数据清掉重来",DELETE,DELETE,true,LLM,0.95,732
345,DELETE,COLLOQUIAL,"IN-2024-086结论不对废掉",DELETE,DELETE,true,LLM,0.95,788
346,DELETE,COLLOQUIAL,"IN-2024-087这个问题过时删",DELETE,DELETE,true,LLM,0.95,722
347,DELETE,COLLOQUIAL,"IN-2024-088附件废掉换新的",DELETE,UPDATE,false,LLM,0.95,701
348,DELETE,COLLOQUIAL,"IN-2024-089签名不对清掉",DELETE,DELETE,true,LLM,0.95,876
349,DELETE,COLLOQUIAL,"IN-2024-090复查不用了取消",DELETE,DELETE,true,LLM,0.95,759
350,DELETE,COLLOQUIAL,"IN-2024-091异常标记抹掉",DELETE,UPDATE,false,LLM,0.95,772
351,DELETE,ABBREVIATED,"删除EQ-2024-085",DELETE,DELETE,true,RULE,0.80,0
352,DELETE,ABBREVIATED,"移除EQ-2024-086",DELETE,DELETE,true,RULE,0.80,0
353,DELETE,ABBREVIATED,"清除EQ-2024-087",DELETE,DELETE,true,LLM,0.95,930
354,DELETE,ABBREVIATED,"撤销EQ-2024-088",DELETE,DELETE,true,LLM,0.95,736
355,DELETE,ABBREVIATED,"删除EQ-2024-089",DELETE,DELETE,true,RULE,0.80,0
356,DELETE,ABBREVIATED,"移除EQ-2024-090",DELETE,DELETE,true,RULE,0.80,0
357,DELETE,ABBREVIATED,"清除EQ-2024-091",DELETE,DELETE,true,LLM,0.95,710
358,DELETE,ABBREVIATED,"删除CS-2024-091",DELETE,DELETE,true,RULE,0.80,0
359,DELETE,ABBREVIATED,"移除CS-2024-092",DELETE,DELETE,true,RULE,0.80,0
360,DELETE,ABBREVIATED,"清除CS-2024-093",DELETE,DELETE,true,LLM,0.95,972
361,DELETE,ABBREVIATED,"删除CS-2024-094",DELETE,DELETE,true,RULE,0.80,0
362,DELETE,ABBREVIATED,"移除CS-2024-095",DELETE,DELETE,true,RULE,0.80,0
363,DELETE,ABBREVIATED,"清除CS-2024-096",DELETE,DELETE,true,LLM,0.95,766
364,DELETE,ABBREVIATED,"删除IN-2024-092",DELETE,DELETE,true,RULE,0.80,0
365,DELETE,ABBREVIATED,"移除IN-2024-093",DELETE,DELETE,true,RULE,0.80,0
366,DELETE,ABBREVIATED,"清除IN-2024-094",DELETE,DELETE,true,LLM,0.95,698
367,DELETE,ABBREVIATED,"撤销IN-2024-095",DELETE,DELETE,true,LLM,0.95,721
368,DELETE,ABBREVIATED,"删EQ-2024-092",DELETE,DELETE,true,LLM,0.95,852
369,DELETE,ABBREVIATED,"删CS-2024-097",DELETE,DELETE,true,LLM,0.95,747
370,DELETE,ABBREVIATED,"删IN-2024-096",DELETE,DELETE,true,LLM,0.95,724
371,DELETE,ABBREVIATED,"去EQ-2024-093",DELETE,QUERY,false,LLM,0.95,761
372,DELETE,ABBREVIATED,"去CS-2024-098",DELETE,QUERY,false,LLM,0.95,1050
373,DELETE,ABBREVIATED,"去IN-2024-097",DELETE,QUERY,false,LLM,0.95,733
374,DELETE,ABBREVIATED,"EQ-2024-094作废",DELETE,DELETE,true,LLM,0.95,658
375,DELETE,ABBREVIATED,"CS-2024-099作废",DELETE,DELETE,true,LLM,0.95,779
376,DELETE,NOISY,"设备EQ-2024-085已经报废了麻烦删除相关记录",DELETE,DELETE,true,RULE,0.80,0
377,DELETE,NOISY,"EQ-2024-086这台设备已经处理掉了请移除资产信息",DELETE,DELETE,true,RULE,0.80,0
378,DELETE,NOISY,"麻烦把设备EQ-2024-087的台账记录清除掉谢谢",DELETE,DELETE,true,LLM,0.95,750
379,DELETE,NOISY,"那个设备EQ-2024-088的维护计划不需要了请撤销",DELETE,DELETE,true,LLM,0.95,709
380,DELETE,NOISY,"设备EQ-2024-089以后不巡检了帮忙删除巡检计划",DELETE,DELETE,true,RULE,0.80,0
381,DELETE,NOISY,"EQ-2024-090的运行记录数据有误需要移除",DELETE,DELETE,true,RULE,0.80,0
382,DELETE,NOISY,"请把设备EQ-2024-091的故障日志清除掉重新记录",DELETE,DELETE,true,LLM,0.95,774
383,DELETE,NOISY,"那个设备EQ-2024-092的操作权限已经收回了帮我撤销",DELETE,DELETE,true,LLM,0.95,846
384,DELETE,NOISY,"设备EQ-2024-093的备用信息不需要了删除",DELETE,DELETE,true,RULE,0.80,0
385,DELETE,NOISY,"耗材CS-2024-091的库存记录错了麻烦删除掉",DELETE,DELETE,true,RULE,0.80,0
386,DELETE,NOISY,"那个CS-2024-092要从物料清单里移除掉不要了",DELETE,DELETE,true,RULE,0.80,0
387,DELETE,NOISY,"麻烦把CS-2024-093的过期批次数据清除一下",DELETE,DELETE,true,LLM,0.95,848
388,DELETE,NOISY,"耗材CS-2024-094的采购订单已经取消了请撤销",DELETE,UPDATE,false,LLM,0.95,927
389,DELETE,NOISY,"那个CS-2024-095的质检报告有问题需要删除",DELETE,DELETE,true,RULE,0.80,0
390,DELETE,NOISY,"麻烦把耗材CS-2024-096的入库记录移除谢谢",DELETE,DELETE,true,RULE,0.80,0
391,DELETE,NOISY,"耗材CS-2024-097的数据录入重复了请帮忙清除",DELETE,DELETE,true,LLM,0.95,679
392,DELETE,NOISY,"巡检记录IN-2024-092数据有误需要删除重新录入",DELETE,DELETE,true,RULE,0.80,0
393,DELETE,NOISY,"那个IN-2024-093的记录已经不适用了请移除掉",DELETE,DELETE,true,RULE,0.80,0
394,DELETE,NOISY,"麻烦把巡检记录IN-2024-094的数据清除一下",DELETE,DELETE,true,LLM,0.95,852
395,DELETE,NOISY,"巡检记录IN-2024-095的结论需要撤销重新评估",DELETE,UPDATE,false,LLM,0.95,970
396,DELETE,NOISY,"IN-2024-096里面有个问题项需要删除处理",DELETE,DELETE,true,RULE,0.80,0
397,DELETE,NOISY,"巡检记录IN-2024-097的附件过期了请移除",DELETE,DELETE,true,RULE,0.80,0
398,DELETE,NOISY,"麻烦清除巡检记录IN-2024-098的签名信息谢谢",DELETE,UPDATE,false,LLM,0.95,838
399,DELETE,NOISY,"那个IN-2024-099的复查申请已经不需要了请撤销",DELETE,DELETE,true,LLM,0.95,670
400,DELETE,NOISY,"巡检记录IN-2024-092的异常标记已处理请删除",DELETE,DELETE,true,RULE,0.80,0
401,STATISTICS,STANDARD,"统计设备EQ-2024-091的故障次数",STATISTICS,STATISTICS,true,RULE,0.80,0
402,STATISTICS,STANDARD,"统计设备EQ-2024-092的巡检次数",STATISTICS,STATISTICS,true,RULE,0.80,0
403,STATISTICS,STANDARD,"统计设备EQ-2024-093的维护次数",STATISTICS,STATISTICS,true,RULE,0.80,0
404,STATISTICS,STANDARD,"统计设备EQ-2024-094的报警次数",STATISTICS,STATISTICS,true,RULE,0.80,0
405,STATISTICS,STANDARD,"汇总设备EQ-2024-095的运行时长",STATISTICS,STATISTICS,true,RULE,0.80,0
406,STATISTICS,STANDARD,"统计设备EQ-2024-096的能耗数据",STATISTICS,STATISTICS,true,RULE,0.80,0
407,STATISTICS,STANDARD,"汇总设备EQ-2024-097的保养次数",STATISTICS,STATISTICS,true,RULE,0.80,0
408,STATISTICS,STANDARD,"计算设备EQ-2024-098的故障频率",STATISTICS,STATISTICS,true,LLM,0.95,739
409,STATISTICS,STANDARD,"分析设备EQ-2024-099的维修成本",STATISTICS,QUERY,false,LLM,0.95,729
410,STATISTICS,STANDARD,"统计耗材CS-2024-091的总消耗",STATISTICS,STATISTICS,true,RULE,0.80,0
411,STATISTICS,STANDARD,"统计耗材CS-2024-092的月度用量",STATISTICS,STATISTICS,true,RULE,0.80,0
412,STATISTICS,STANDARD,"统计耗材CS-2024-093的消耗趋势",STATISTICS,STATISTICS,true,RULE,0.80,0
413,STATISTICS,STANDARD,"统计耗材CS-2024-094的采购次数",STATISTICS,STATISTICS,true,RULE,0.80,0
414,STATISTICS,STANDARD,"统计耗材CS-2024-095的库存变化",STATISTICS,STATISTICS,true,RULE,0.80,0
415,STATISTICS,STANDARD,"统计耗材CS-2024-096的总消耗金额",STATISTICS,STATISTICS,true,RULE,0.80,0
416,STATISTICS,STANDARD,"统计耗材CS-2024-097的批次消耗",STATISTICS,STATISTICS,true,RULE,0.80,0
417,STATISTICS,STANDARD,"统计耗材CS-2024-098的使用频率",STATISTICS,STATISTICS,true,RULE,0.80,0
418,STATISTICS,STANDARD,"统计巡检记录IN-2024-091的完成率",STATISTICS,STATISTICS,true,RULE,0.80,0
419,STATISTICS,STANDARD,"统计巡检记录IN-2024-092的异常率",STATISTICS,STATISTICS,true,RULE,0.80,0
420,STATISTICS,STANDARD,"统计巡检记录IN-2024-093的整改完成率",STATISTICS,STATISTICS,true,RULE,0.80,0
421,STATISTICS,STANDARD,"统计巡检记录IN-2024-094的合格率",STATISTICS,STATISTICS,true,RULE,0.80,0
422,STATISTICS,STANDARD,"统计巡检记录IN-2024-095的问题分布",STATISTICS,STATISTICS,true,RULE,0.80,0
423,STATISTICS,STANDARD,"统计巡检记录IN-2024-096的检查项",STATISTICS,STATISTICS,true,RULE,0.80,0
424,STATISTICS,STANDARD,"统计巡检记录IN-2024-097的复查数据",STATISTICS,STATISTICS,true,RULE,0.80,0
425,STATISTICS,STANDARD,"统计巡检记录IN-2024-098的合格率趋势",STATISTICS,STATISTICS,true,RULE,0.80,0
426,STATISTICS,COLLOQUIAL,"EQ-2024-091坏了多少次算一下",STATISTICS,STATISTICS,true,LLM,0.95,737
427,STATISTICS,COLLOQUIAL,"EQ-2024-092巡检过几次",STATISTICS,STATISTICS,true,LLM,0.95,883
428,STATISTICS,COLLOQUIAL,"EQ-2024-093做了什么保养",STATISTICS,QUERY,false,LLM,0.95,785
429,STATISTICS,COLLOQUIAL,"EQ-2024-094发了多少报警",STATISTICS,QUERY,false,LLM,0.95,837
430,STATISTICS,COLLOQUIAL,"EQ-2024-095长时间运行多久",STATISTICS,QUERY,false,LLM,0.95,809
431,STATISTICS,COLLOQUIAL,"EQ-2024-096耗了多少电记录",STATISTICS,QUERY,false,LLM,0.95,995
432,STATISTICS,COLLOQUIAL,"EQ-2024-097做了几次保养",STATISTICS,QUERY,false,LLM,0.95,994
433,STATISTICS,COLLOQUIAL,"EQ-2024-098多久坏一次算下",STATISTICS,STATISTICS,true,LLM,0.95,1020
434,STATISTICS,COLLOQUIAL,"EQ-2024-099修了多少钱清单",STATISTICS,QUERY,false,LLM,0.95,707
435,STATISTICS,COLLOQUIAL,"CS-2024-091全消耗了多少",STATISTICS,STATISTICS,true,LLM,0.95,778
436,STATISTICS,COLLOQUIAL,"CS-2024-092平均每月用多少",STATISTICS,STATISTICS,true,LLM,0.95,1020
437,STATISTICS,COLLOQUIAL,"CS-2024-093消耗趋势如何",STATISTICS,STATISTICS,true,LLM,0.95,955
438,STATISTICS,COLLOQUIAL,"CS-2024-094采购过几批",STATISTICS,QUERY,false,LLM,0.95,939
439,STATISTICS,COLLOQUIAL,"CS-2024-095库存怎么变",STATISTICS,QUERY,false,LLM,0.95,808
440,STATISTICS,COLLOQUIAL,"CS-2024-096花了多少钱算",STATISTICS,QUERY,false,LLM,0.95,1052
441,STATISTICS,COLLOQUIAL,"CS-2024-097哪批消耗最多",STATISTICS,STATISTICS,true,LLM,0.95,1010
442,STATISTICS,COLLOQUIAL,"CS-2024-098哪个部门用得最多",STATISTICS,STATISTICS,true,LLM,0.95,1136
443,STATISTICS,COLLOQUIAL,"IN-2024-091完成比例如何",STATISTICS,STATISTICS,true,LLM,0.95,754
444,STATISTICS,COLLOQUIAL,"IN-2024-092异常占比多少",STATISTICS,STATISTICS,true,LLM,0.95,896
445,STATISTICS,COLLOQUIAL,"IN-2024-093整改执行比例",STATISTICS,STATISTICS,true,LLM,0.95,1003
446,STATISTICS,COLLOQUIAL,"IN-2024-094合格率是多少",STATISTICS,QUERY,false,LLM,0.95,992
447,STATISTICS,COLLOQUIAL,"IN-2024-095哪类问题偏多",STATISTICS,STATISTICS,true,LLM,0.95,802
448,STATISTICS,COLLOQUIAL,"IN-2024-096查了哪些项目",STATISTICS,QUERY,false,LLM,0.95,927
449,STATISTICS,COLLOQUIAL,"IN-2024-097复查几次了",STATISTICS,QUERY,false,LLM,0.95,766
450,STATISTICS,COLLOQUIAL,"IN-2024-098合格趋势怎么样",STATISTICS,STATISTICS,true,LLM,0.95,693
451,STATISTICS,ABBREVIATED,"统计EQ-2024-091故障",STATISTICS,STATISTICS,true,RULE,0.80,0
452,STATISTICS,ABBREVIATED,"统计EQ-2024-092巡检",STATISTICS,STATISTICS,true,RULE,0.80,0
453,STATISTICS,ABBREVIATED,"统计EQ-2024-093维护",STATISTICS,STATISTICS,true,RULE,0.80,0
454,STATISTICS,ABBREVIATED,"统计EQ-2024-094报警",STATISTICS,STATISTICS,true,RULE,0.80,0
455,STATISTICS,ABBREVIATED,"汇总EQ-2024-095运行",STATISTICS,STATISTICS,true,RULE,0.80,0
456,STATISTICS,ABBREVIATED,"统计EQ-2024-096能耗",STATISTICS,STATISTICS,true,RULE,0.80,0
457,STATISTICS,ABBREVIATED,"汇总EQ-2024-097保养",STATISTICS,STATISTICS,true,RULE,0.80,0
